Date,Confirmed positive,Presumptive positive,Negative,Total,Rate of Change,Acceleration,# Doubles,Today's # Days / Doubling,Avg # Days / Doubling,# tested today,# cases recovered,# active cases,#deaths,"100% of NS population, 80% undoc",# days until 100% NS infected,100% date,New cases,Est. active cases (11 days),# active cases in hospital,# hospital cases in ICU,% of active cases in hospital,Ideal doubling rate of change,Doubling rate to avoid hospital collapse,Predicted # days / doubling (max 18),Predicted # total cases,Predicted active cases (11 days),Predicted # active hospital cases,Uh-oh,Estimated free hospital beds,# respirators,# respiratory therapists,# hospital beds,Inpatient days,Occupancy rate,
2020-09-24,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,30881,6371,203,,273,240,308,3142,1047310,91.32%,
2020-09-25,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,31603,6520,208,,273,240,308,3142,1047310,91.32%,
2020-09-26,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,32341,6672,212,,273,240,308,3142,1047310,91.32%,
2020-09-27,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,33097,6828,217,,273,240,308,3142,1047310,91.32%,
2020-09-28,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,33871,6988,223,,273,240,308,3142,1047310,91.32%,
2020-09-29,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,34663,7151,228,,273,240,308,3142,1047310,91.32%,
2020-09-30,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,35473,7318,233,,273,240,308,3142,1047310,91.32%,
2020-10-01,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36302,7489,239,,273,240,308,3142,1047310,91.32%,
2020-10-02,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,7458,238,,273,240,308,3142,1047310,91.32%,
2020-10-03,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,6768,216,,273,240,308,3142,1047310,91.32%,
2020-10-04,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,6063,193,,273,240,308,3142,1047310,91.32%,
2020-10-05,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,5341,170,,273,240,308,3142,1047310,91.32%,
2020-10-06,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,4603,147,,273,240,308,3142,1047310,91.32%,
2020-10-07,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,3847,123,,273,240,308,3142,1047310,91.32%,
2020-10-08,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,3073,98,,273,240,308,3142,1047310,91.32%,
2020-10-09,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,2281,73,,273,240,308,3142,1047310,91.32%,
2020-10-10,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,1471,47,,273,240,308,3142,1047310,91.32%,
2020-10-11,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,642,20,,273,240,308,3142,1047310,91.32%,
2020-10-12,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-13,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-14,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-15,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-16,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-17,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-18,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-19,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-20,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-21,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-22,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-23,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
2020-10-24,,,,,,,,,,,,,,184720,,,,,,,,0.0500,30,30,36944,0,0,,273,240,308,3142,1047310,91.32%,
